location_1,location_2,business_closed,business_closed_date,business_closed_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,school_closed,school_closed_date,school_closed_url,college_closed,college_closed_date,college_closed_url,value
Alabama,Henry County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Houston County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Jackson County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Jefferson County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Lamar County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Lauderdale County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Lawrence County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Lee County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Limestone County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Lowndes County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Macon County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Madison County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Marengo County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Marion County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Marshall County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Mobile County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Monroe County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
